Datum;Grund der Ausgabe;Betrag
29.12.2023;Kontoführungsgebühren;-6,00 €
27.12.2023;Überweisungskosten;-3,90 €
12.12.2023;1&1 Internetkosten;-13,14 €
30.11.2023;Kontoführungsgebühren;-6,50 €
27.11.2023;Überweisungskosten;-3,90 €
14.11.2023;1&1 Internetkosten;-13,14 €
02.11.2023;;-4,00 €
02.11.2023;;-15,00 €
31.10.2023;Kontoführungsgebühren;-6,60 €
26.10.2023;Überweisungskosten;-3,90 €
12.10.2023;1&1 Internetkosten;-11,81 €
29.09.2023;Kontoführungsgebühren;-5,00 €
26.09.2023;Überweisungskosten;-3,90 €
12.09.2023;1&1 Internetkosten;-11,81 €
31.08.2023;Kontoführungsgebühren;-5,00 €
28.08.2023;Überweisungskosten;-3,90 €
14.08.2023;1&1 Internetkosten;-11,81 €
31.07.2023;Kontoführungsgebühren;-7,20 €
28.07.2023;Überweisungskosten;-3,90 €
12.07.2023;1&1 Internetkosten;-11,81 €
30.06.2023;Kontoführungsgebühren;-5,00 €
28.06.2023;Überweisungskosten;-3,90 €
19.06.2023;Kosten Echtzeitüberweisung;-0,30 €
13.06.2023;1&1 Internetkosten;-11,81 €
31.05.2023;Kontoführungsgebühren;-8,10 €
30.05.2023;Überweisungskosten;-30,00 €
12.05.2023;1&1 Internetkosten;-11,81 €
03.05.2023;Überweisungskosten;-30,00 €
03.05.2023;Rückbuchung Kosten;-4,50 €
28.04.2023;Kontoführungsgebühren;-5,00 €
26.04.2023;Überweisungskosten;-30,00 €
24.04.2023;Haus der Sonne T-Shirts;-590,74 €
24.04.2023;zusätzliches Gepäck;-276,00 €
24.04.2023;Eröffnung Konto Mbouda;-148,00 €
19.04.2023;Debitkarte;-4,00 €
12.04.2023;1&1 Internetkosten;-11,81 €
31.03.2023;Kontoführungsgebühren;-8,66 €
28.03.2023;Überweisungkosten;-3,90 €
21.03.2023;Überweisungkosten;3,90 €
14.03.2023;1&1 Internetkosten;-11,81 €
28.02.2023;Kontoführungsgebühren;-6,08 €
28.02.2023;Überweisungkosten;-3,90 €
15.02.2023;Girocard;-10,00 €
14.02.2023;1&1 Internetkosten;-11,81 €
02.02.2023;Überweisungskosten;-3,90 €
31.01.2023;Kontoführungsgebühren;-6,00 €
26.01.2023;Überweisungkosten;-3,90 €
20.01.2023;WISO MeinVerein Erstattung Uwe Hofer;-178,50 €
12.01.2023;1&1 Internetkosten;-11,81 €
