Datum;Grund der Ausgabe;Betrag
28.12.2022;Weihnachtsfeier Mbouda und Geschenke;-550,00 €
28.12.2022;Brunnen: Wartung;-152,00 €
28.12.2022;med. Versorgung Rodanice;-35,00 €
28.12.2022;med. Versorgung Bertin;-35,00 €
28.12.2022;1 warme Mahlzeit Januar 2023;-2.005,00 €
29.11.2022;med. Versorgung Rodanice;-35,00 €
29.11.2022;med. Versorgung Bertin;-35,00 €
28.11.2022;1 warme Mahlzeit Dezember 2022;-2.005,00 €
04.11.2022;Deutschkurs Diana;-270,90 €
27.10.2022;Ausbildung Blandine;-35,00 €
27.10.2022;med. Versorgung Rodanice;-35,00 €
27.10.2022;med. Versorgung Bertin;-35,00 €
27.10.2022;1 warme Mahlzeit November 2022;-2.005,00 €
27.09.2022;Zahnhygiene;-150,00 €
27.09.2022;Brunnen: Wartung;-152,00 €
27.09.2022;Kleidung;-2.000,00 €
27.09.2022;Ausbildung Blandine;-35,00 €
27.09.2022;med. Versorgung Rodanice;-35,00 €
27.09.2022;med. Versorgung Bertin;-35,00 €
27.09.2022;1 warme Mahlzeit Oktober 2022;-2.005,00 €
29.08.2022;Einrichtung Atelier;-1.852,00 €
29.08.2022;Schulgeld;-2.841,00 €
29.08.2022;Ausbildung Blandine;-35,00 €
29.08.2022;med. Versorgung Rodanice;-35,00 €
29.08.2022;med. Versorgung Bertin;-35,00 €
29.08.2022;1 warme Mahlzeit September 2022;-2.005,00 €
27.07.2022;Ausbildung Blandine;-35,00 €
27.07.2022;med. Versorgung Rodanice;-35,00 €
27.07.2022;med. Versorgung Bertin;-35,00 €
27.07.2022;1 warme Mahlzeit August 2022;-2.005,00 €
27.06.2022;Brunnen: Wartung;-152,00 €
27.06.2022;Ausbildung Blandine;-35,00 €
27.06.2022;med. Versorgung Rodanice;-35,00 €
27.06.2022;med. Versorgung Bertin;-35,00 €
27.06.2022;1 warme Mahlzeit Juli 2022;-2.005,00 €
27.05.2022;Ausbildung Blandine;-35,00 €
27.05.2022;med. Versorgung Rodanice;-35,00 €
27.05.2022;med. Versorgung Bertin;-35,00 €
27.05.2022;1 warme Mahlzeit Juni 2022;-2.005,00 €
28.04.2022;Atelierbau Rest + 381€ Transport Erde;-2.441,00 €
28.04.2022;Ausbildung Blandine;-35,00 €
28.04.2022;med. Versorgung Rodanice;-35,00 €
28.04.2022;med. Versorgung Bertin;-35,00 €
28.04.2022;1 warme Mahlzeit Mai 2022;-2.005,00 €
28.03.2022;Brunnen: Wartung;-152,00 €
28.03.2022;Zahnhygiene;-150,00 €
28.03.2022;Ausbildung Blandine;-35,00 €
28.03.2022;med. Versorgung Rodanice;-35,00 €
28.03.2022;med. Versorgung Bertin;-35,00 €
28.03.2022;1 warme Mahlzeit April 2022;-2.005,00 €
14.03.2022;Abschlagszahlung 20% Werkstatt;-2.060,00 €
28.02.2022;Kleidung;-2.000,00 €
28.02.2022;Ausbildung Blandine;-35,00 €
28.02.2022;med. Versorgung Rodanice;-35,00 €
28.02.2022;med. Versorgung Bertin;-35,00 €
28.02.2022;1 warme Mahlzeit März 2022;-2.005,00 €
31.01.2022;Schulgeld;-2.841,00 €
27.01.2022;Ausbildung Blandine;-35,00 €
27.01.2022;med. Versorgung Rodanice;-35,00 €
27.01.2022;med. Versorgung Bertin;-35,00 €
27.01.2022;1 warme Mahlzeit Februar 2022;-1.750,00 €
19.01.2022;Ausbildung Landry;-244,00 €
19.01.2022;Abschlagszahlung 20% Werkstatt;-2.060,00 €
19.01.2022;Position Zement;-600,00 €
03.01.2022;Nähwerkstatt und Solaranalge;-4.120,00 €
03.01.2022;Weihnachtsfeier Mbouda;-350,00 €
03.01.2022;Ausbildung Blandine;-340,00 €
